Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHE,146,Switzerland,Inflation,Food Consumer Price Inflation,2.5,6.52,6.41,6.11,10.78,6.17,-1.5,1.38,3.97,3.7,6.9,10.47,6.81,2.15,3.79,2.55,0.8,0.77,2.18,1.13,5.52,4.38,0.06,-0.18,0.43,0.67,-0.49,0.67,0.82,-0.14,1.63,2.08,2.31,1.27,0.51,-0.71,-0.04,0.52,3.1,-0.19,-1.11,-3.25,-0.98,1.22,0.92,-0.8,0.39,0.42,1.26,0.11,0.09,-1.59,1.45
CHL,228,Chile,Inflation,Food Consumer Price Inflation,35.4,23.8,115.2,376.5,513.7,359.6,212.8,86.2,34.6,31.1,36.1,14.2,3.6,25.8,21.1,28.3,23.9,24.1,13.3,20.8,26,25.8,18,10.9,9.8,8.3,6.1,7.2,3.7,0.3,1.19,0.63,1.86,3.2,-1.92,2.9,2.69,9.62,17.08,4.71,2.2,6.69,7.63,4.43,6.98,7.12,3.82,2.01,3.06,2.38,6.74,5.41,16.99
CHN,924,China,Inflation,Food Consumer Price Inflation,,,,,,0.3,0,0.1,0.1,2.8,10.6,-1.1,3.1,1.2,8.3,13,7.4,8.9,20.7,17.1,1.1,2.5,10.7,16.5,31.99,22.43,7.59,-0.11,-3.19,-4.21,-2.57,0.01,-0.7,3.44,9.79,2.82,2.48,12.36,14.42,0.71,7.34,11.89,4.93,4.7,3.07,2.45,4.48,-1.35,1.84,9.35,10.68,-1.7,2.61
CIV,662,C?te d'Ivoire,Inflation,Food Consumer Price Inflation,12.7,-1.8,-1.1,17.7,18.1,10.4,7.3,40,11.3,21.8,18.9,5.2,4.2,4.3,5,1.6,10,12,12.1,1,-1.3,2.5,3.3,3.4,22.5,22.5,9.21,9.21,9.21,-4.5,0,5.7,5.6,4,-3.8,2.45,3,5.4,11.6,3.38,5.79,10.44,-0.3,1.95,-2.11,2.05,3.04,0.34,-0.49,1.04,4.2,7.68,9.08
CMR,622,Cameroon,Inflation,Food Consumer Price Inflation,9.3,6.3,12,9.1,14.1,16.2,11.2,23.5,11.5,4.8,9,13,19,14.8,4.6,-0.7,1.3,5.7,0.5,-7,-10.2,-0.8,-1.8,-1.8,8.4,8.4,3.1,7,3.3,1,2.3,7,4.8,-0.7,-2,1.1,6.9,1,9.2,5.98,1.23,4.81,3.43,3.23,0.77,2.02,1.08,0.04,1.22,2.88,3.5,4.25,11.88
COD,636,"Congo, Dem. Rep.",Inflation,Food Consumer Price Inflation,10.2,10.3,20.2,16.5,29.5,30.2,98.1,76.9,57,96.8,21.3,39.2,,,,,,,,,,,,,,,,,,,,,,,,7.37,9.79,26.41,38.72,51.17,12.73,14.8,7.38,0.72,1.38,0.84,3.03,,,,,,
COG,634,"Congo, Rep.",Inflation,Food Consumer Price Inflation,0.7,4.9,10.2,5,5.7,16,6.1,6.1,15.2,15.2,4.8,13.9,16.8,9.7,12.5,5.3,-2.2,0.6,-5.8,-0.5,1.5,-3.8,-8.1,6.8,47.6,6.8,7.2,24.7,-0.4,4.8,-5.2,-1.7,4.7,-5.8,-6.3,5.4,10.1,7.3,8.1,7.5,-0.69,1.57,10.94,7.78,-4.06,4.15,3.03,,,,,2.95,6.34
COL,233,Colombia,Inflation,Food Consumer Price Inflation,5.9,12.8,15.3,29.5,29,27.1,20.1,43.2,12.5,22.7,28.9,28.6,25.4,20.6,15.6,31.5,19.3,26.8,32.6,24.67,26.82,30.32,30.22,15.92,20.87,19.22,15.91,15.76,22.54,6.24,9.55,9.85,9.77,8.06,6.36,6.37,5.58,8.42,12.4,3.58,0.21,4.57,3.42,0.41,2.97,8.63,13.11,0.69,0.83,4.89,5.55,9.73,24.63
COM,632,Comoros,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01,4.58,5.9,2.42,4.11,1.62,1.04,9.48,4.67,-7.04,2.81,2.04,7.89,2.04,2.25,-0.28,,,3.24,,,,
CPV,624,Cabo Verde,Inflation,Food Consumer Price Inflation,9.5,21,12.2,14.1,52.6,27.2,1.2,12.4,27.4,,,,,,12,-1.1,13,4.3,3.1,9.1,12,9.4,8.7,3.7,1.9,11.4,5.5,10.1,4.6,3.5,-1.7,5.3,0.62,-0.15,-3.27,-0.08,6.47,5.03,9.08,2.08,2.2,5.21,2.64,0.73,-1.17,1.45,0.14,-0.18,0.45,1.39,3.67,0.56,12.7
