Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHN,924,China,Inflation,Energy Consumer Price Inflation,,,,,,-0.1,-0.1,0.1,0.1,0.2,0.2,0.6,0.8,1,2.2,4,3.9,3.6,16.1,27.4,7.1,15.6,21.7,16.9,,,,,,,,2.5,-0.05,2.17,4.98,5.42,4.73,4.38,5.6,-3.5,4.35,5.48,2.1,2.88,2.1,0.65,1.27,2.63,2.26,1.3,-1.57,1.9,3.1
CIV,662,C?te d'Ivoire,Inflation,Energy Consumer Price Inflation,16.4,4.4,4.5,6.5,19.7,12.8,17,15.7,19.4,10.4,14.4,2.7,,,8.7,3.4,10.1,4.5,-5.1,-1.1,0,0,-0.2,0.7,0.7,0.7,0.7,0.7,1.08,3.98,1.63,3.48,3.79,6.49,1.61,8.54,1.7,-0.45,4.48,-1.14,2.4,1.87,1.98,2.07,1.65,1.47,0.21,1.29,2.14,0.01,2.91,4,5.57
CMR,622,Cameroon,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,17.46,9.3,-0.4,-0.3,4,2.9,1.3,1.4,1.2,6,2.5,1.9,5.1,0.9,3.5,,,,2.88,2.74,2.01,2.95,1.44,1.17,-2.57,1.67,3.03,1.81,1.54
COD,636,"Congo, Dem. Rep.",Inflation,Energy Consumer Price Inflation,8.4,-5.4,3,17.3,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.39,0.11,3.31,,,,,,
COG,634,"Congo, Rep.",Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,4.3,5.1,2.1,16.6,4,7.9,1.5,1.3,-8.9,0.4,4.4,-2.2,10.9,14.2,10.7,30,19.9,15,6.5,0.5,16.6,-2.2,-6.3,3.3,2,13.3,8.2,4.3,7.1,3.2,2.8,1.59,0.82,0.39,0.11,3.31,-0.89,,,1.76,2.26,-0.02
COL,233,Colombia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,20.03,24.59,27.43,30.17,25.41,27.28,26.06,23.52,23.1,19.81,16.37,10.76,5.43,4.14,3.93,5.75,5.35,4.28,3.95,4.39,5.79,5.46,3.72,3.51,3.63,2.81,3.25,4.06,5.93,4.54,4.02,5.7,-1.13,5.13,14.74
COM,632,Comoros,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,2.05,3.65,-0.06,1.14,,,,,,,,
CPV,624,Cabo Verde,Inflation,Energy Consumer Price Inflation,-2.6,0,0.9,15.8,46.2,31.6,0.8,,,,,,,,16,6,5.7,0,,,10.1,11.8,0.2,5.1,4.3,-0.4,3.9,7.4,2.5,15.8,0,,,,,4.33,11.97,9.41,5.51,0.02,2.72,6.41,5.49,4.99,-0.24,-6.02,-8.26,1.65,2.38,0.3,-0.04,1.87,3.96
CRI,238,Costa Rica,Inflation,Energy Consumer Price Inflation,2.6,0.3,2.2,6.7,88.3,20.5,,8,1.4,11.8,14.9,36.7,64.7,57.4,1,8,4.8,9,33.4,11.2,22.5,47.4,28.8,18.9,11.2,,11.02,3.98,6.68,12.65,11.23,23.84,8.21,7.21,16.95,11.94,11.42,9.1,13.91,16.59,8.64,3.96,7.07,16.74,2.87,-2.16,1.15,1.23,4.34,-1.01,1.91,7.07,18.8
CUW,354,Curacao,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,3.84,3.8,3.04,2.24,3.68,5.56,-1.91,5.83,4.55,2.34,0.82,1.87,-1.59,-0.24,,,,,,
